ERK_ID;ERK_DATUM;ERK_PRUEFER;ERK_KOORDINATEN;ERK_ORT;ERK_AUFSCHLUSS_OB;ERK_AUFSCHLUSS_TOB;ERK_AUFSCHLUSS_UG;ERK_OBERKANTE;ERK_BELASTUNGSKLASSE;ERK_PECH_QUALITATIV;ERK_PECH_QUANTITATIV;ERK_TRAG_PLANUM;ERK_TRAG_GRABENSOHLE;ERK_VERBUND_UNTERLAGE;ERK_LP;ERK_LP1;ERK_LP2;ERK_LP3;ERK_LP_MEAN;ERK_LP_EV;ERK_LP_EV15;ERK_LP_EV2;SCHICHT_ID;CHEMIE_ID;SCHICHT_NR;SCHICHT_AUFSCHLUSS;SCHICHT_ART;SCHICHT_KOERNUNG;SCHICHT_DICKE;SCHICHT_TIEFE_START;SCHICHT_TIEFE_ENDE;SCHICHT_PECH;SCHICHT_RUNDUNGSGRAD_GESTUFTHEIT;SCHICHT_FARBE;SCHICHT_KONSISTENZ;SCHICHT_FEUCHTIGKEIT;SCHICHT_WASSERGEHALT;SCHICHT_WASSERPROCTOR;SCHICHT_BEMERKUNGEN;SCHICHT_BEHAELTNIS;SCHICHT_ABFALLART;SCHICHT_GERUCH;SCHICHT_KORNGROESSENVERTEILUNG;SCHICHT_RUK_NR;SCHICHT_RUK_PROBE;SCHICHT_RUK;SCHICHT_DRUCKFESTIGKEIT;CHEMIE_MUFV;CHEMIE_LFS;CHEMIE_LAGA_BO;CHEMIE_LAGA_RC;CHEMIE_LAGARC_ORIENTIERUNGSWERT;CHEMIE_TLGESTEIN;CHEMIE_DEPV;CHEMIE_ENTSCHEIDUNGSHILFE;CHEMIE_REKU;CHEMIE_ASBEST;CHEMIE_PCB;CHEMIE_BTEX;;;;
FB6;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377961 5558594;K 35, NK 5809 018 – NK 5809 016, Stat. 3+800, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;4;0,45;0,45;0,43;0,44;50,8;43;< 80;36;;3;GOB;Asphalt;0/16;4,5;3,5;8;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;9;Sammelprobe;59,2;;;;;;;;;;;;;;;;;
FB6;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377961 5558594;K 35, NK 5809 018 – NK 5809 016, Stat. 3+800, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;4;0,45;0,45;0,43;0,44;50,8;43;< 80;37;;4;GOB;Asphalt;0/22;9;8;17;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;10;Sammelprobe;60,6;;;;;;;;;;;;;;;;;
FB6;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377961 5558594;K 35, NK 5809 018 – NK 5809 016, Stat. 3+800, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;4;0,45;0,45;0,43;0,44;50,8;43;< 80;38;C1;5;TOB;Gem. a. G. (NS/LS);0/45;21;17;38;;BK, sg;braun;;;;;;Eimer 10L;Gem. a. G. (NS/LS);neutral;;;;;;nicht gefährlich;;Z0*;Z1.1;eingehalten;RC1;DK0;;;;;;;;;
FB6;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377961 5558594;K 35, NK 5809 018 – NK 5809 016, Stat. 3+800, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;0,3;nein;;;;;4;0,45;0,45;0,43;0,44;50,8;43;< 80;39;C3;6;UG;GT*;0/40;112;38;150;;;braun-grau;steif;?;6,4;;organoleptisch auffällig / G = verwitterter Schiefer;Eimer 10L;Boden;auffällig;25,6;;;;;nicht gefährlich;;Z0*;;;;DK0;;nicht eingehalten;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;40;;1;GOB;Asphalt;;0,5;0;0,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;12;Einzelprobe;61,6;;;;;;;;;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;41;;2;GOB;Asphalt;0/8;3,5;0,5;4;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;13;Einzelprobe;63,6;;;;;;;;;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;42;;3;GOB;Asphalt;0/16;4,5;4;8,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;10;Sammelprobe;60,6;;;;;;;;;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;43;;4;GOB;Asphalt;0/32;5;8,5;13,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;11;Sammelprobe;63,0;;;;;;;;;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;44;;5;GOB;Asphalt;0/22;5,5;13,5;19;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;;;;;;;;;;;;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;45;C1;6;TOB;Gem. a. G. (NS/LS);0/32;8;19;27;;BK, sg;rotbraun;;;;;;;Gem. a. G. (NS/LS);neutral;;;;;;nicht gefährlich;;Z0*;Z1.1;eingehalten;RC1;DK0;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;46;C1;7;TOB;Gem. a. G. (NS/LS);0/45;15;27;42;;BK, sg;rotbraun;;;;;;;Gem. a. G. (NS/LS);neutral;;;;;;nicht gefährlich;;Z0*;Z1.1;eingehalten;RC1;DK0;;;;;;;;;
FB7;25.06.2020;"Plakolli, Mensur;Stockemer, Sebastian";32U 377867  5558619;K 35, NK 5809 018 – NK 5809 016, Stat. 4+000, FS FR Bruttig;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;47;C4;8;UG;[GU];0/40;48;42;90;;;rotbraun-grau;;<;;;"Rammhindernis; keine tiefere Entnahme möglich / organoleptisch auffällig";Eimer 10L;Auffüllung (Boden);auffällig;;;;;;nicht gefährlich;;Z0;;;;DK0;;nicht eingehalten;;;;;;;
FB8;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 378053 5558642;K 35, NK 5809 018 – NK 5809 016, Stat. 4+200, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;48;;1;GOB;Asphalt;0/8;3;0;3;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;8;Sammelprobe;62,0;;;;;;;;;;;;;;;;;
FB8;26.06.2020;"Plakolli, Mensur;Meyer, Ronny";32U 378053 5558642;K 35, NK 5809 018 – NK 5809 016, Stat. 4+200, FS FR Treis;Bk400;Handschurf;Kleinrammbohrung;FOK;1;nein;;;;;;;;;;;;;49;;2;GOB;Asphalt;0/16;3,5;3;6,5;nein;;schwarz-grau;;;;;;;Asphalt;neutral;;9;Sammelprobe;59,2;;;;;;;;;;;;;;;;;
